306	65	308	62
113	289	121	281
140	275	148	267
260	291	264	284
330	269	331	262
72	169	80	162
384	66	384	63
288	190	291	185
210	366	216	357
117	67	125	62
114	166	122	159
240	341	244	333
360	219	360	213
119	268	127	260
209	348	214	339
407	416	405	406
144	297	152	289
96	190	104	183
135	345	142	336
263	93	266	89
286	168	289	163
70	241	79	234
257	340	261	332
88	299	97	291
192	221	198	215
280	395	283	385
138	192	145	185
264	169	267	164
118	317	126	309
165	314	172	306
328	294	330	287
70	217	79	210
89	89	97	83
332	244	333	238
141	117	148	111
286	296	289	289
351	268	352	261
312	190	314	184
382	423	381	413
233	74	237	70
284	221	287	215
88	240	97	233
283	343	286	334
111	99	119	93
143	97	150	91
382	371	381	362
287	141	290	136
308	395	310	385
352	249	353	243
258	71	261	67
118	348	126	339
117	239	125	231
425	420	423	410
312	363	314	354
311	146	313	141
308	117	310	112
433	218	430	213
303	89	305	85
96	71	104	65
313	417	315	407
287	90	290	86
95	220	104	213
304	218	306	212
