310	432	310	432
626	176	626	175
401	429	401	429
364	477	365	477
269	475	269	475
84	523	84	523
132	627	132	627
351	522	351	522
495	438	496	438
123	535	123	535
304	578	304	578
178	489	178	489
216	479	216	479
80	579	80	579
544	281	545	281
438	525	439	525
590	578	591	578
127	573	127	573
207	234	207	234
133	488	133	488
536	638	537	638
316	488	316	488
361	434	361	434
577	279	578	279
301	378	301	378
348	589	349	589
224	374	224	374
579	539	580	539
317	528	317	528
590	227	591	227
121	87	121	86
539	434	540	434
222	133	222	132
164	576	164	576
393	476	394	476
639	130	639	129
545	479	546	479
536	89	537	88
170	540	170	540
86	627	86	627
169	423	169	423
581	125	581	124
409	572	410	572
577	472	578	472
257	288	257	287
451	422	452	422
485	123	486	122
581	640	582	640
446	486	447	486
449	85	450	84
349	389	349	389
71	477	71	477
226	188	226	187
399	330	399	330
441	134	442	133
592	374	593	373
587	180	587	179
449	389	450	389
581	85	581	84
487	80	487	79
208	590	208	590
631	373	632	372
352	235	352	235
364	324	364	324
536	588	537	588
546	534	547	534
488	474	489	474
399	181	400	180
441	172	442	171
453	327	454	326
165	621	165	621
641	578	641	578
485	275	486	275
500	576	501	576
636	275	637	275
640	524	641	524
453	581	454	581
530	139	530	138
163	341	163	340
79	90	79	89
585	326	585	326
212	624	212	624
398	535	399	535
492	528	493	528
534	335	535	334
310	280	310	280
627	84	627	83
401	239	402	238
74	182	74	181
488	637	489	637
70	436	70	436
127	135	127	134
78	127	78	126
397	131	397	130
397	285	397	284
307	82	307	81
637	627	638	627
486	389	487	388
